member_id,name,status,bio,image,linkedin,github,pubmed,orcid,google_scholar,researchgate,blog,source_file
rachel_knevel,Rachel Knevel,current,Main PI and head of the Knevel Lab,Rachel_Knevel_profile_picture.png,https://www.linkedin.com/in/rachel-knevel-60b760b/,https://github.com/rkmnl,https://pubmed.ncbi.nlm.nih.gov/?term=Knevel+R+&amp;sort=pubdate,https://orcid.org/0000-0002-7494-3023,,,,_pages/group.html
tjardo_maarseveen,Tjardo Maarseveen,current,"PhD Candidate, bioinformatician, expert in the field of Electronic Health Records and free-text analysis",Tjardo.jpg,https://www.linkedin.com/in/tjardo-maarseveen/,https://github.com/levrex,https://pubmed.ncbi.nlm.nih.gov/?term=Maarseveen+T%5BAuthor%5D&amp;sort=date,https://orcid.org/0000-0003-1701-1040,,,,_pages/group.html
nils_steinz,Nils Steinz,current,"PhD Candidate, bioinformatician, expert in data wrangling and deep learning",Nils.png,https://www.linkedin.com/in/nils-steinz-b70141154/?originalSubdomain=nl,https://github.com/nilssteinz,,https://orcid.org/0009-0009-4314-8228?lang=en,,,,_pages/group.html
ling_qing,Ling Qing,current,"MD and PhD Candidate, focusing on studying disease-related factors and predictions.",Ling.jpg,https://www.linkedin.com/in/ling-qin-814232259,https://github.com/lingqin1996,,https://orcid.org/0000-0002-0817-3825?lang=en,,,,_pages/group.html
floor_dijkstra_zegers,Floor Dijkstra Zegers,current,"PhD candidate, biostatistician, working with prediction of rheumatic diseases in patients with musculoskeletal complaints based on self-reported complaints.",Floor.png,https://www.linkedin.com/in/floor-zegers-203704192/,,,https://orcid.org/0000-0002-8318-5332,,,,_pages/group.html
georgy_gomon,Georgy Gomon,current,"MD and PhD candidate, statistician. Working with primary and secondary care electronic healthcare records to further understand the trajectory of patients with musculoskeletal complaints.",Georgy.png,https://www.linkedin.com/in/georgy-gomon-956262235/,https://github.com/georgygomon,https://pubmed.ncbi.nlm.nih.gov/?term=Gomon%2C+Georgy%5BAuthor%5D,https://orcid.org/0000-0002-5317-5328,,,,_pages/group.html
daniyal_selani,Daniyal Selani,current,"PhD Researcher working at TU Delft and LUMC, working with the SPIDeRR Consortium on multi-modal embeddings and manifold alignment. 
The focus of my work is to use data from multiple sources to perform clinically relevant classification and clustering tasks. 
My background is in data science, computer engineering and deep learning.",Daniyal.jpg,https://www.linkedin.com/in/daniyal-selani-745022174/,,,,,,,_pages/group.html
jyaysi_desai,Jyaysi Desai,current,"Jyaysi Desai, PhD. Project manager, involved in coordination, legal support and execution of European consortiums SPIDeRR and SQUEEZE. Day-to day team management.",Jyaysi.png,https://www.linkedin.com/in/jyaysi-desai-phd-aa775937/,,https://pubmed.ncbi.nlm.nih.gov/?term=jyaysi+desai,https://orcid.org/0009-0006-3199-963X,https://scholar.google.com/citations?user=AXSdHrQAAAAJ&amp;hl=en,,,_pages/group.html
suguru_honda,Suguru Honda,current,"Postdoctoral Researcher, rheumatologist and bioinformatician, expert in deep learning.",Suguru.png,https://www.linkedin.com/in/suguru-honda-3301a9312/,https://github.com/honda-s691470,https://pubmed.ncbi.nlm.nih.gov/?term=Honda+Suguru%5BAuthor%5D&amp;sort=fauth,https://orcid.org/0000-0003-4846-3234,,,,_pages/group.html
inez_den_hond,Inez den Hond,current,"PhD candidate working at LUMC and TU Delft, background in Biomedical Sciences (BSc) & Bioinformatics (MSc). 
My work focuses on disentangling the clinical and molecular heterogeneity of rheumatoid arthritis by integrating multiple data types (clinical, genetics, transcriptomics).",inez.png,https://www.linkedin.com/in/inez-den-hond-5408571b8/,https://github.com/icdh99,,,,,,_pages/group.html
bahar_sedaghatikhayat,Bahar Sedaghatikhayat,current,"Postdoctoral researcher, specializing in population genetics and genetic epidemiology. 
My work focuses on utilizing polygenic risk scores (PRS) to refine disease risk prediction, stratify patient populations, and bridge the gap between genetics and clinical practice.",Bahar.jpg,https://www.linkedin.com/in/bahar-sedaghati-khayat-39280158/,,,https://orcid.org/0000-0002-7665-8648,https://scholar.google.com/citations?user=upYpjhMAAAAJ&amp;hl=en,,,_pages/group.html
mick_blikman,Mick Blikman,current,"Student, bioinformatician, working on a web application to assign disease trajectories to patients",Mick.png,https://www.linkedin.com/in/mick-blikman-16b698367/,https://github.com/Mikblik,,,,,,_pages/group.html
qingshuang_xie,Qingshuang Xie,current,"Master’s student focused on using statistics to understand real-world data. Currently working on my thesis, where I develop predictive models to see how patients with musculoskeletal issues are referred from GPs to specialists.",Qingshuang.png,https://www.linkedin.com/in/qingshuang-xie-72170a355/,https://github.com/hiworld101,,,,,,_pages/group.html
david_steeman,David Steeman,current,"Data Manager, assisting PhD's within the Knevel Lab with data extractions",David.jpg,https://www.linkedin.com/in/david-steeman/,https://github.com/DavidSteeman,,,,,,_pages/group.html
yasuo_nagafuchi,Yasuo Nagafuchi,affiliated,"Senior Researcher, bioinformatician and rheumatologist, expert in the field of transcriptome and TCR/BCR repertoire analysis.",Yasuo.png,,,https://pubmed.ncbi.nlm.nih.gov/?term=Nagafuchi%2C+Yasuo%5BAuthor%5D,https://orcid.org/0000-0002-1316-8035,,,,_pages/group.html
samantha_jurado_zapata,Samantha Jurado-Zapata,affiliated,"Student, bioinformatician, worked on the genetics of RA remission, currently datamanager at our department",Samantha.jpg,https://www.linkedin.com/in/samantha-jurado-zapata-262458194/,,,,,,,_pages/group.html
nick_bos,Nick Bos,alumni,"Student, bioinformatician, working on a web application to assign and visualize JIPs",Nick.png,https://www.linkedin.com/in/nick-bos-189b8798/,https://github.com/4E-69-63-6B-20-42-6F-73/,,,,,,_pages/group.html
in_s_p_rez_sancrist_bal,Inés Pérez-Sancristóbal,alumni,"Rheumatologist, PhD Candidate, visiting researcher at the Knevel lab, expert in uveitis and rheumatoid arthritis. Currently working on bridging artificial intelligence and clinical rheumatology.",Ines.jpg,,,,https://orcid.org/0000-0002-2098-4313,,https://www.researchgate.net/profile/Ines-Perez-Sancristobal-2,,_pages/group.html
marc_maurits,Marc Maurits,alumni,"PostDoc, pseudo-bioinformatician, expert in the field of being really picky and annoying about research, also website developer/maintainer",Marc.jpg,https://www.linkedin.com/in/marc-maurits-711889115,https://github.com/MarcMaurits,https://pubmed.ncbi.nlm.nih.gov/?term=Maurits+MP%5BAuthor%5D&amp;sort=date,https://orcid.org/0000-0002-3266-6232,,,,_pages/group.html
lotta_vaskimo,Lotta Vaskimo,alumni,"PhD Candidate, bioinformatician, and evolutionary biologist. Experienced in the field of evolutionary and population genomics.",Lotta.jpg,https://www.linkedin.com/in/lotta-vaskimo-551583194,,https://pubmed.ncbi.nlm.nih.gov/?term=Vaskimo+L%5BAuthor%5D&amp;sort=date,https://orcid.org/0009-0002-7412-2169?lang=en,,,,_pages/group.html
mila_van_rooij,Mila van Rooij,alumni,"Bioinformatician, experienced software dev, currently researching B-cell interaction in RA patients",Mila.jpg,https://www.linkedin.com/in/mikaela39/,https://github.com/SheepInMeadow,,,,,https://binf.dev,_pages/group.html
daan_van_der_bijl,Daan van der Bijl,alumni,"Student, bioinformatician, worked on RA disease trajectories",Daan.jpg,https://www.linkedin.com/in/daan-van-der-bijl-b84836208/,,,,,,,_pages/group.html
mingdong_liu,Mingdong Liu,alumni,"Student, bioinformatician, worked on the genetics of RA remission",Profile.jpg,https://www.linkedin.com/in/mingdong-liu-b530011a3/,,,,,,,_pages/group.html
tim_verheijen,Tim Verheijen,alumni,"Student, bioinformatician, worked on Covid trajectories",Profile.jpg,https://www.linkedin.com/in/tim-verheijen-19396b1b6/,,,,,,,_pages/group.html
changlin_ke,Changlin Ke,alumni,"Student, bioinformatician, worked on the genetics of RA remission",Profile.jpg,https://www.linkedin.com/in/changlin-ke-15931616b/,,,,,,,_pages/group.html
ximeng_wang,Ximeng Wang,alumni,"Student, bioinformatician, worked on Covid trajectories",Profile.jpg,https://www.linkedin.com/in/ximeng-wang-3b62181bb/,,,,,,,_pages/group.html
casper_band,Casper Band,alumni,"Bioinformatician, app developer",Profile.jpg,,https://github.com/CasperBand,,,,,,_pages/group.html
aram_de_keijzer,Aram de Keijzer,alumni,"Bioinformatician, app developer",Profile.jpg,,https://github.com/aramdekeijzer,,,,,,_pages/group.html
david_schooneveld,David Schooneveld,alumni,"Bioinformatician, app developer",Profile.jpg,,https://github.com/DavidSchooneveld,,,,,,_pages/group.html
